,property_type,place_name,price_aprox_usd,rooms,contrafrente,cochera,amenities,esp_exterior,mas_1banio,estrenar,surface,price_m2
4904,apartment,Caballito,113905.94,1.0,0,1,1,1,1,0,43.0,2648.9753488372094
4905,apartment,Caballito,92986.73,1.0,0,1,1,1,1,0,43.0,2162.482093023256
4906,apartment,Caballito,89173.04,1.0,0,1,1,1,1,0,43.0,2073.7916279069764
4907,apartment,Caballito,59280.44,1.0,0,1,1,1,1,0,35.0,1693.7268571428572
4908,apartment,Caballito,91640.72,1.0,0,1,1,1,1,0,43.0,2131.179534883721
4909,apartment,Caballito,335000.0,4.0,0,1,1,0,1,0,151.0,2218.543046357616
4910,apartment,Caballito,91416.39,1.0,0,1,1,1,1,0,43.0,2125.962558139535
4911,apartment,Caballito,59448.69,1.0,0,1,1,1,1,0,35.0,1698.534
4912,apartment,Monserrat,145000.0,3.0,0,0,1,0,1,0,78.0,1858.974358974359
4913,apartment,Flores,75000.0,1.0,0,0,1,1,1,0,36.0,2083.3333333333335
4914,apartment,Villa Urquiza,92000.0,1.0,0,0,1,1,0,1,41.0,2243.9024390243903
4915,apartment,Belgrano,179467.76,2.0,0,1,1,1,1,0,51.5,3484.810873786408
4916,apartment,Caballito,82000.0,1.0,0,0,1,1,1,0,35.0,2342.8571428571427
4917,apartment,Belgrano,330893.69,3.0,0,1,1,1,1,0,154.0,2148.660324675325
4918,apartment,Paternal,167937.0,3.0,0,0,1,1,1,0,74.0,2269.4189189189187
4919,apartment,Puerto Madero,255000.0,1.0,0,1,1,1,0,0,51.0,5000.0
4920,apartment,Recoleta,519000.0,4.0,0,1,0,1,1,0,161.0,3223.6024844720496
4921,store,Almagro,380000.0,2.0,0,0,0,0,1,0,314.5,1208.2670906200317
4922,apartment,Balvanera,135000.0,3.0,0,0,0,0,0,0,79.0,1708.860759493671
4923,apartment,San Nicolás,159500.0,4.0,0,0,0,0,1,0,70.0,2278.5714285714284
4924,store,Barrio Norte,45000.0,1.0,0,0,0,1,1,0,27.0,1666.6666666666667
4925,house,Flores,400000.0,6.0,0,1,0,1,1,0,310.0,1290.3225806451612
4926,house,Flores,229000.0,6.0,0,1,0,1,1,0,200.0,1145.0
4927,apartment,Monserrat,245000.0,5.0,0,0,0,1,0,0,113.0,2168.141592920354
4928,apartment,Balvanera,120000.0,3.0,0,0,1,1,1,0,53.0,2264.1509433962265
4929,apartment,Almagro,226000.0,4.0,0,0,1,1,1,0,103.5,2183.5748792270533
4930,apartment,Barrio Norte,129800.0,2.0,0,0,1,1,1,0,55.0,2360.0
4931,apartment,Villa Urquiza,155000.0,3.0,0,0,0,1,1,0,59.0,2627.1186440677966
4932,apartment,Barrio Norte,390000.0,6.0,0,0,0,0,1,0,123.0,3170.731707317073
4933,apartment,Las Cañitas,698000.0,4.0,0,1,1,1,1,0,230.0,3034.782608695652
4934,PH,Almagro,250000.0,4.0,0,0,0,1,1,0,125.0,2000.0
4935,apartment,Villa Crespo,91300.0,1.0,0,0,1,1,0,0,41.0,2226.829268292683
4936,apartment,Villa Crespo,79000.0,1.0,0,1,0,1,0,0,40.0,1975.0
4937,apartment,Villa Crespo,75200.0,1.0,0,1,0,1,0,0,40.0,1880.0
4938,apartment,Balvanera,80000.0,2.0,0,0,1,0,0,0,44.0,1818.1818181818182
4939,apartment,Almagro,130000.0,3.0,0,0,0,0,0,0,51.0,2549.0196078431372
4940,apartment,San Telmo,60000.0,2.0,0,0,0,0,1,0,30.0,2000.0
4941,house,Flores,279000.0,5.0,0,0,0,0,1,0,190.0,1468.421052631579
4942,apartment,San Cristobal,67000.0,2.0,0,0,0,0,0,0,35.0,1914.2857142857142
4943,apartment,Almagro,90000.0,1.0,0,0,0,0,0,1,40.0,2250.0
4944,house,Mataderos,420000.0,4.0,0,1,0,1,1,0,320.0,1312.5
4945,PH,Chacarita,188000.0,3.0,0,0,0,1,0,0,140.0,1342.857142857143
4946,apartment,Retiro,196000.0,4.0,0,0,0,0,0,0,87.0,2252.8735632183907
4947,apartment,Recoleta,190000.0,2.0,0,0,1,0,0,0,42.0,4523.809523809524
4948,apartment,San Nicolás,74900.0,1.0,0,0,0,1,1,0,32.0,2340.625
4949,apartment,San Nicolás,63000.0,1.0,0,0,0,0,1,0,31.0,2032.258064516129
4950,apartment,Abasto,145000.0,2.0,0,1,1,1,1,0,62.0,2338.7096774193546
4951,apartment,Tribunales,215000.0,4.0,0,0,1,1,1,0,137.0,1569.3430656934306
4952,apartment,Congreso,215000.0,5.0,0,0,1,1,1,0,130.0,1653.8461538461538
4953,apartment,Caballito,165000.0,3.0,0,1,0,1,1,0,54.0,3055.5555555555557
4954,apartment,San Nicolás,215000.0,5.0,0,0,1,1,1,0,145.0,1482.7586206896551
4955,apartment,Palermo,95000.0,2.0,0,0,1,0,1,0,40.0,2375.0
4956,apartment,Palermo,64000.0,1.0,0,0,0,1,1,0,24.0,2666.6666666666665
4957,apartment,Boedo,41000.0,1.0,0,0,0,0,0,0,30.0,1366.6666666666667
4958,apartment,Recoleta,425000.0,5.0,0,0,0,1,1,0,161.0,2639.751552795031
4959,apartment,Recoleta,165000.0,3.0,1,0,0,0,0,0,70.0,2357.1428571428573
4960,apartment,Palermo,229000.0,3.0,0,0,1,1,1,0,72.0,3180.5555555555557
4961,apartment,Parque Patricios,120000.0,3.0,0,0,0,1,1,0,53.5,2242.9906542056074
4962,apartment,Parque Patricios,81000.0,1.0,0,0,0,1,0,0,35.0,2314.285714285714
4963,apartment,Parque Patricios,90000.0,3.0,0,0,0,0,0,0,53.5,1682.2429906542056
4964,PH,Floresta,197500.0,4.0,0,0,0,1,1,0,163.0,1211.6564417177915
4965,apartment,Las Cañitas,459500.0,4.0,0,1,1,1,1,0,110.0,4177.272727272727
4968,apartment,Nuñez,99900.0,3.0,0,0,0,1,0,0,50.0,1998.0
4969,apartment,Barracas,185000.0,2.0,0,0,0,0,0,0,85.0,2176.470588235294
4970,apartment,Caballito,255000.0,3.0,1,1,0,1,0,0,121.0,2107.438016528926
4971,apartment,Palermo,75000.0,1.0,0,0,0,1,1,0,30.0,2500.0
4972,apartment,Barrio Norte,990000.0,5.0,0,1,0,1,1,0,375.0,2640.0
4973,PH,Mataderos,129500.0,4.0,0,0,0,1,1,0,105.0,1233.3333333333333
4974,apartment,Villa Devoto,158000.0,3.0,0,0,0,0,0,0,71.0,2225.3521126760565
4975,apartment,Caballito,205000.0,3.0,1,0,0,1,1,0,135.0,1518.5185185185185
4976,apartment,Floresta,150000.0,3.0,0,0,0,1,1,0,100.0,1500.0
4977,apartment,Palermo,895000.0,3.0,0,1,1,1,1,0,180.0,4972.222222222223
4978,apartment,Palermo,279000.0,3.0,0,1,0,1,1,0,82.0,3402.439024390244
4979,apartment,Recoleta,375000.0,3.0,0,1,1,1,1,0,85.0,4411.764705882353
4980,apartment,Las Cañitas,380000.0,3.0,0,1,1,0,1,0,136.0,2794.1176470588234
4981,apartment,Palermo,72000.0,1.0,0,0,0,0,0,0,26.0,2769.230769230769
4982,apartment,Palermo,67000.0,1.0,1,0,0,0,0,0,23.0,2913.0434782608695
4983,apartment,Flores,95000.0,2.0,0,0,1,1,1,0,47.0,2021.276595744681
4984,apartment,Palermo,79900.0,1.0,0,0,0,1,1,0,24.0,3329.1666666666665
4985,apartment,Recoleta,1250000.0,6.0,0,1,1,1,1,0,330.0,3787.878787878788
4986,apartment,Las Cañitas,135900.0,3.0,0,0,0,0,0,0,50.0,2718.0
4987,apartment,Barrio Norte,270000.0,3.0,0,0,1,1,1,0,112.0,2410.714285714286
4988,apartment,Monserrat,94300.0,1.0,0,1,1,1,1,1,41.0,2300.0
4989,apartment,Puerto Madero,790000.0,3.0,0,1,1,1,1,0,132.0,5984.848484848485
4990,PH,Villa Santa Rita,180000.0,4.0,0,1,0,1,1,0,79.0,2278.481012658228
4991,apartment,Puerto Madero,740000.0,3.0,0,1,1,1,1,0,132.0,5606.060606060606
4992,apartment,Centro / Microcentro,69000.0,1.0,0,0,0,1,1,0,30.0,2300.0
4993,apartment,Coghlan,92000.0,2.0,1,0,0,1,1,0,38.0,2421.0526315789475
4994,apartment,Villa del Parque,109000.0,3.0,1,0,0,0,1,0,50.0,2180.0
4995,house,Liniers,395000.0,1.0,0,1,0,1,1,0,350.0,1128.5714285714287
4996,apartment,Coghlan,133000.0,2.0,0,1,1,1,0,0,38.0,3500.0
4997,apartment,Puerto Madero,260000.0,1.0,0,1,1,0,0,0,43.0,6046.511627906977
4998,apartment,Puerto Madero,260000.0,1.0,0,1,1,0,0,0,43.0,6046.511627906977
4999,apartment,Puerto Madero,1285400.0,4.0,0,1,1,1,1,0,186.0,6910.752688172043
5000,apartment,Recoleta,155000.0,1.0,0,0,0,1,0,1,40.0,3875.0
5001,apartment,Barrio Norte,550000.0,6.0,0,1,1,1,1,0,250.0,2200.0
5002,apartment,Belgrano,249000.0,4.0,0,1,0,1,1,0,74.0,3364.864864864865
5003,store,Recoleta,2000000.0,1.0,0,0,1,0,0,0,277.0,7220.216606498195
5005,apartment,Constitución,58000.0,1.0,0,0,0,1,1,0,55.0,1054.5454545454545
5006,apartment,San Telmo,165000.0,4.0,0,0,1,1,1,0,80.0,2062.5
5007,apartment,Belgrano,205000.0,3.0,1,0,0,1,1,0,63.0,3253.968253968254
5008,apartment,Flores,78000.0,2.0,0,0,0,1,1,0,45.0,1733.3333333333333
5009,apartment,Floresta,78000.0,2.0,0,0,0,1,1,0,45.0,1733.3333333333333
5010,apartment,Puerto Madero,450000.0,2.0,0,1,1,0,1,0,97.0,4639.1752577319585
5011,apartment,Las Cañitas,135000.0,1.0,1,0,1,1,1,0,44.0,3068.181818181818
5012,apartment,Palermo,199000.0,3.0,0,0,0,1,1,0,69.0,2884.057971014493
5013,apartment,Nuñez,139900.0,1.0,0,1,0,1,0,1,53.0,2639.622641509434
5014,house,Almagro,385000.0,6.0,0,0,0,1,1,0,240.0,1604.1666666666667
5015,house,Almagro,385000.0,6.0,0,0,0,1,1,0,240.0,1604.1666666666667
5016,apartment,Palermo,157000.0,2.0,0,0,0,0,0,0,53.0,2962.264150943396
5017,house,Villa Urquiza,295000.0,3.0,0,0,0,1,1,0,235.0,1255.3191489361702
5018,apartment,Belgrano,160000.0,2.0,1,0,0,1,1,0,59.0,2711.864406779661
5019,house,Belgrano,480000.0,5.0,0,1,0,1,1,0,207.0,2318.840579710145
5020,apartment,Belgrano,750000.0,6.0,0,1,1,1,1,0,211.0,3554.5023696682465
5021,apartment,Flores,105000.0,1.0,0,0,0,1,1,1,48.0,2187.5
5022,apartment,Almagro,169900.0,6.0,0,0,0,1,1,0,66.0,2574.242424242424
5023,apartment,Belgrano,70000.0,1.0,0,0,0,0,1,0,30.0,2333.3333333333335
5024,apartment,Paternal,123441.0,2.0,1,0,1,1,1,0,74.0,1668.1216216216217
5025,apartment,Belgrano,499999.0,5.0,0,1,1,1,1,0,154.0,3246.746753246753
5026,apartment,Villa Urquiza,140000.0,3.0,0,0,1,1,1,0,59.0,2372.8813559322034
5027,apartment,Balvanera,125000.0,3.0,1,0,0,1,1,0,68.0,1838.235294117647
5028,PH,Villa Urquiza,260000.0,4.0,0,1,0,1,1,0,140.0,1857.142857142857
5029,apartment,Caballito,55000.0,1.0,0,0,0,0,0,0,35.0,1571.4285714285713
5030,apartment,Palermo,155000.0,2.0,0,0,0,0,0,0,70.0,2214.285714285714
5031,apartment,Recoleta,2025000.0,10.0,1,1,1,1,1,0,604.0,3352.6490066225165
5032,apartment,Balvanera,122000.0,2.0,0,1,1,1,1,0,60.0,2033.3333333333333
5033,house,Villa Crespo,350000.0,5.0,0,1,0,1,0,0,255.0,1372.549019607843
5034,apartment,Caballito,149000.0,2.0,0,1,0,1,1,0,60.0,2483.3333333333335
5035,apartment,Villa Luro,75000.0,2.0,1,0,0,1,1,0,42.0,1785.7142857142858
5036,PH,Floresta,125000.0,4.0,1,0,0,1,1,0,75.0,1666.6666666666667
5037,apartment,Caballito,206000.0,3.0,0,1,0,1,1,0,83.0,2481.9277108433735
5038,apartment,Monserrat,331200.0,3.0,0,1,1,1,1,1,138.0,2400.0
5039,apartment,Recoleta,452561.0,4.0,0,0,0,0,0,0,122.0,3709.5163934426228
5040,apartment,Palermo,133000.0,3.0,0,0,1,1,1,0,40.0,3325.0
5041,apartment,Palermo,242000.0,3.0,0,0,1,1,1,0,64.0,3781.25
5042,apartment,Villa Luro,78000.0,2.0,0,0,0,1,1,0,38.0,2052.6315789473683
5043,apartment,Belgrano,171000.0,3.0,0,0,1,1,1,0,52.0,3288.4615384615386
5044,apartment,Belgrano,133000.0,3.0,0,0,1,1,1,0,40.0,3325.0
5045,apartment,Congreso,65000.0,2.0,0,0,0,1,1,0,33.0,1969.6969696969697
5046,apartment,Puerto Madero,740000.0,3.0,0,1,1,1,1,0,132.0,5606.060606060606
5047,store,Recoleta,690000.0,1.0,0,0,0,0,0,0,100.0,6900.0
5048,apartment,Caballito,104000.0,1.0,0,0,1,0,0,1,39.0,2666.6666666666665
5049,apartment,Coghlan,250000.0,3.0,0,1,1,1,1,0,72.0,3472.222222222222
5050,store,Barrio Norte,430000.0,1.0,0,0,0,0,0,0,100.0,4300.0
5051,PH,Caballito,332000.0,5.0,0,0,0,1,1,0,320.0,1037.5
5052,apartment,Recoleta,143500.0,1.0,1,0,0,0,0,1,37.0,3878.3783783783783
5053,apartment,Palermo,115000.0,1.0,0,0,1,1,1,0,39.0,2948.7179487179487
5054,apartment,Palermo,260000.0,3.0,0,0,1,0,0,0,75.0,3466.6666666666665
5055,apartment,Palermo,170000.0,2.0,0,1,1,1,0,0,65.0,2615.3846153846152
5056,apartment,Villa Ortuzar,103000.0,2.0,0,0,0,0,0,0,37.0,2783.7837837837837
5057,apartment,Palermo,194000.0,3.0,0,0,1,1,1,0,83.0,2337.3493975903616
5058,apartment,Palermo,93000.0,1.0,0,0,0,0,1,0,26.0,3576.923076923077
5059,PH,Almagro,92000.0,1.0,0,0,0,0,0,0,34.0,2705.8823529411766
5060,apartment,Recoleta,1100000.0,7.0,0,1,1,1,1,0,720.0,1527.7777777777778
5061,apartment,Centro / Microcentro,670000.0,2.0,0,0,0,1,0,0,666.0,1006.006006006006
5062,apartment,Caballito,175000.0,3.0,0,0,0,1,0,0,85.0,2058.823529411765
5063,apartment,Barrio Norte,1300000.0,4.0,0,1,0,0,0,0,319.0,4075.2351097178685
5064,PH,Liniers,260000.0,4.0,0,1,0,1,1,0,130.0,2000.0
5065,apartment,Coghlan,133000.0,2.0,0,1,1,1,0,0,38.0,3500.0
5066,apartment,Puerto Madero,645000.0,2.0,0,1,1,1,1,0,85.0,7588.235294117647
5067,apartment,Villa Urquiza,135000.0,3.0,0,0,0,0,1,0,50.0,2700.0
5068,store,Boedo,176900.0,4.0,0,0,0,0,1,0,118.0,1499.1525423728813
5069,PH,San Cristobal,150000.0,3.0,0,0,0,0,1,0,82.0,1829.2682926829268
5070,apartment,Villa Crespo,185000.0,3.0,1,1,1,1,1,0,73.0,2534.246575342466
5071,apartment,Flores,275000.0,4.0,0,1,0,1,1,0,107.0,2570.0934579439254
5072,apartment,Coghlan,170000.0,2.0,0,1,1,1,1,0,70.0,2428.5714285714284
5073,apartment,Caballito,79000.0,1.0,0,0,0,1,0,1,38.0,2078.9473684210525
5074,apartment,Palermo,1380000.0,5.0,0,1,1,1,0,0,310.0,4451.612903225807
5075,apartment,Palermo,278000.0,3.0,0,1,1,0,0,0,118.0,2355.9322033898306
5076,house,Parque Patricios,550000.0,6.0,0,1,1,1,1,0,504.0,1091.2698412698412
5077,apartment,Caballito,220000.0,4.0,0,1,0,1,1,0,108.0,2037.037037037037
5078,apartment,Villa Devoto,375000.0,4.0,0,1,1,1,1,1,190.0,1973.6842105263158
5079,apartment,Paternal,375000.0,4.0,0,1,1,1,1,1,190.0,1973.6842105263158
5080,apartment,Villa del Parque,375000.0,4.0,0,1,1,1,1,1,190.0,1973.6842105263158
5081,apartment,Villa General Mitre,375000.0,4.0,0,1,1,1,1,1,190.0,1973.6842105263158
5082,apartment,Villa Santa Rita,375000.0,4.0,0,1,1,1,1,1,190.0,1973.6842105263158
5083,apartment,Caballito,130000.0,2.0,0,0,1,0,1,0,49.0,2653.061224489796
5084,apartment,Retiro,595000.0,5.0,0,1,0,1,1,0,221.0,2692.3076923076924
5085,apartment,Belgrano,790000.0,3.0,0,1,1,1,1,0,185.0,4270.27027027027
5086,apartment,Villa Urquiza,228000.0,4.0,0,1,0,1,1,0,86.0,2651.1627906976746
5087,apartment,Puerto Madero,755000.0,3.0,0,1,1,1,1,0,135.0,5592.592592592592
5088,apartment,Puerto Madero,795000.0,3.0,0,1,1,0,0,0,135.0,5888.888888888889
5089,apartment,San Nicolás,165000.0,3.0,0,0,0,0,0,0,70.0,2357.1428571428573
5090,apartment,Puerto Madero,420000.0,2.0,0,1,1,1,1,0,135.0,3111.1111111111113
5091,apartment,Villa Crespo,406000.0,4.0,0,0,0,1,1,1,155.0,2619.3548387096776
5092,apartment,Parque Patricios,119900.0,3.0,0,0,0,1,0,0,64.0,1873.4375
5093,apartment,Palermo,90000.0,1.0,0,0,1,1,0,0,38.0,2368.4210526315787
5094,apartment,Palermo,94000.0,1.0,0,0,1,1,0,0,43.0,2186.046511627907
5095,apartment,Flores,56000.0,2.0,0,0,0,0,0,0,36.0,1555.5555555555557
5096,apartment,Almagro,270000.0,3.0,1,0,1,1,1,0,185.0,1459.4594594594594
5097,apartment,Almagro,78000.0,2.0,0,0,0,0,0,0,38.0,2052.6315789473683
5098,apartment,Villa Crespo,78000.0,2.0,0,0,0,0,0,0,38.0,2052.6315789473683
5099,apartment,Recoleta,630000.0,4.0,0,1,1,1,1,0,138.0,4565.217391304348
5100,PH,Monserrat,218000.0,4.0,0,0,0,1,1,0,196.0,1112.2448979591836
5101,house,Boedo,245000.0,5.0,0,0,0,1,1,0,230.0,1065.2173913043478
5102,apartment,Flores,105000.0,3.0,0,0,0,1,0,0,60.0,1750.0
5103,house,Villa Devoto,580000.0,4.0,1,1,1,1,1,0,258.0,2248.062015503876
5104,apartment,Villa Devoto,129000.0,2.0,1,0,0,0,1,0,57.0,2263.157894736842
5105,apartment,Flores,135000.0,2.0,0,0,0,1,1,0,69.0,1956.5217391304348
5106,apartment,Floresta,75000.0,2.0,0,0,0,0,1,0,36.0,2083.3333333333335
5107,apartment,Balvanera,74000.0,2.0,0,0,0,1,1,0,43.0,1720.9302325581396
5108,apartment,Belgrano,199000.0,1.0,0,1,1,1,1,0,65.0,3061.5384615384614
5109,apartment,Balvanera,66000.0,2.0,0,0,0,0,1,0,35.0,1885.7142857142858
5110,apartment,Caballito,114000.0,2.0,1,1,1,1,1,1,53.0,2150.943396226415
5111,apartment,San Telmo,150000.0,4.0,0,0,0,1,1,0,80.0,1875.0
5112,apartment,San Telmo,60800.0,1.0,0,1,0,1,0,0,38.0,1600.0
5113,apartment,Puerto Madero,435000.0,2.0,0,1,1,0,0,0,83.0,5240.963855421687
5114,apartment,Recoleta,255000.0,5.0,0,0,0,0,1,0,100.0,2550.0
5115,apartment,Belgrano,790000.0,3.0,0,1,1,1,1,0,185.0,4270.27027027027
5116,apartment,Belgrano,260000.0,4.0,0,1,1,1,1,0,93.0,2795.6989247311826
5117,apartment,Barrio Norte,395000.0,7.0,0,1,0,0,1,0,156.0,2532.051282051282
5118,apartment,Recoleta,1200000.0,8.0,0,1,0,0,1,0,316.0,3797.46835443038
5119,apartment,Retiro,595000.0,5.0,0,1,0,1,1,0,221.0,2692.3076923076924
5120,apartment,Barrio Norte,298000.0,3.0,1,1,0,1,1,0,95.0,3136.842105263158
5121,apartment,Barrio Norte,155000.0,1.0,0,0,0,1,1,0,44.0,3522.7272727272725
5122,apartment,Belgrano,97000.0,1.0,1,0,0,0,0,0,36.0,2694.4444444444443
5123,apartment,Paternal,310000.0,4.0,0,1,1,1,1,0,223.0,1390.134529147982
5124,apartment,Las Cañitas,239000.0,4.0,0,1,1,1,0,0,110.0,2172.7272727272725
5125,PH,Flores,215000.0,4.0,0,0,0,1,1,0,173.0,1242.7745664739884
5126,apartment,Palermo,250000.0,4.0,0,0,1,1,1,0,114.0,2192.9824561403507
5127,apartment,Flores,155000.0,3.0,0,0,0,1,1,0,90.0,1722.2222222222222
5128,apartment,Palermo,169000.0,3.0,0,1,1,0,0,0,68.0,2485.294117647059
5129,apartment,Palermo,278000.0,3.0,0,1,1,0,0,0,92.0,3021.7391304347825
5130,apartment,Palermo,300000.0,4.0,0,1,0,1,1,0,106.0,2830.188679245283
5131,apartment,Barracas,89000.0,2.0,0,0,0,0,0,0,48.0,1854.1666666666667
5132,apartment,Palermo,559455.5,4.0,0,1,1,0,0,0,132.0,4238.299242424242
5133,apartment,San Telmo,198000.0,4.0,0,0,0,1,1,0,141.0,1404.2553191489362
5134,PH,Villa Devoto,185000.0,2.0,0,0,0,1,0,0,165.0,1121.2121212121212
5135,apartment,Palermo,270000.0,4.0,0,1,1,0,0,0,116.0,2327.5862068965516
5136,house,Parque Chacabuco,198000.0,4.0,0,0,0,1,1,0,145.0,1365.5172413793102
5137,PH,San Cristobal,145000.0,3.0,0,0,0,1,1,0,111.0,1306.3063063063064
5138,apartment,Belgrano,570000.0,4.0,0,1,1,1,0,0,172.0,3313.953488372093
5139,store,Nuñez,1250000.0,2.0,0,0,0,0,0,1,430.0,2906.9767441860463
5140,store,Nuñez,1250000.0,2.0,0,0,0,0,0,1,430.0,2906.9767441860463
5141,apartment,Recoleta,470000.0,3.0,0,1,0,1,1,0,163.0,2883.435582822086
5142,apartment,Barrio Norte,470000.0,3.0,0,1,0,1,1,0,163.0,2883.435582822086
5143,apartment,San Telmo,65000.0,1.0,0,0,0,1,1,0,28.0,2321.4285714285716
5144,house,Villa Luro,1020000.0,6.0,0,1,1,1,1,0,560.0,1821.4285714285713
5145,apartment,Congreso,230000.0,2.0,1,0,0,1,0,0,123.0,1869.918699186992
5146,store,Centro / Microcentro,550000.0,2.0,0,0,0,0,0,0,140.0,3928.5714285714284
5147,apartment,Tribunales,108000.0,3.0,0,0,0,0,1,0,63.0,1714.2857142857142
5148,store,Centro / Microcentro,550000.0,2.0,0,0,0,0,0,0,140.0,3928.5714285714284
5149,apartment,Monserrat,90000.0,2.0,0,0,0,1,1,0,43.0,2093.0232558139537
5150,house,Palermo,1100000.0,6.0,0,0,0,0,1,0,840.0,1309.5238095238096
5151,apartment,Belgrano,295000.0,4.0,0,1,1,1,1,0,90.0,3277.777777777778
5152,apartment,Floresta,125000.0,3.0,0,0,0,0,1,0,60.0,2083.3333333333335
5153,apartment,Belgrano,129000.0,2.0,0,0,0,1,1,0,49.0,2632.6530612244896
5154,apartment,Flores,120000.0,2.0,0,0,1,1,0,1,46.0,2608.695652173913
5155,house,Belgrano,950000.0,5.0,1,1,1,1,1,0,325.0,2923.076923076923
5156,apartment,Barrio Norte,280000.0,4.0,1,0,0,1,1,0,110.0,2545.4545454545455
5157,store,Tribunales,249000.0,2.0,0,0,0,0,0,0,190.0,1310.5263157894738
5158,apartment,Floresta,115000.0,3.0,0,1,1,1,1,0,63.0,1825.3968253968253
5159,apartment,Villa del Parque,82000.0,2.0,1,0,0,1,1,0,37.0,2216.2162162162163
5160,store,Belgrano,134900.0,2.0,0,0,0,0,1,0,80.0,1686.25
5163,apartment,Recoleta,659000.0,6.0,0,0,0,0,0,0,189.0,3486.772486772487
5164,PH,Palermo,390000.0,5.0,1,1,0,1,1,0,220.0,1772.7272727272727
5165,apartment,Palermo,300000.0,3.0,0,0,1,1,0,0,99.0,3030.3030303030305
5166,apartment,Nuñez,320000.0,4.0,0,1,1,1,1,0,126.0,2539.6825396825398
5167,apartment,Balvanera,330000.0,4.0,0,0,0,0,0,0,210.5,1567.6959619952495
5168,apartment,Recoleta,120000.0,1.0,0,0,0,1,0,0,32.0,3750.0
5169,apartment,Belgrano,300000.0,4.0,0,1,0,1,1,0,80.0,3750.0
5170,apartment,Centro / Microcentro,63900.0,1.0,0,1,0,0,0,0,28.0,2282.1428571428573
5171,apartment,Palermo,187000.0,3.0,1,0,1,1,0,0,89.0,2101.123595505618
5172,apartment,Belgrano,144000.0,2.0,0,0,0,1,1,1,50.0,2880.0
5173,apartment,Colegiales,89000.0,2.0,0,0,0,0,0,0,40.0,2225.0
5174,house,Belgrano,310000.0,4.0,0,0,0,1,0,0,175.0,1771.4285714285713
5175,PH,Palermo,149000.0,2.0,0,0,0,1,0,0,52.0,2865.3846153846152
5176,store,Monserrat,110000.0,1.0,0,0,0,0,0,0,62.0,1774.1935483870968
5177,apartment,Barrio Norte,85000.0,1.0,0,0,0,0,0,0,30.0,2833.3333333333335
5178,PH,Coghlan,215000.0,3.0,0,0,0,1,0,0,157.0,1369.4267515923566
5179,apartment,Parque Patricios,46000.0,1.0,0,1,1,1,0,1,26.0,1769.2307692307693
5180,apartment,Almagro,59000.0,2.0,0,0,0,0,0,0,35.0,1685.7142857142858
5181,apartment,Saavedra,79500.0,1.0,0,1,0,1,0,1,36.0,2208.3333333333335
5182,apartment,Palermo,67500.0,1.0,0,0,0,0,0,1,32.0,2109.375
5183,apartment,Monte Castro,60000.0,1.0,0,0,0,0,0,0,35.0,1714.2857142857142
5184,apartment,Palermo,91000.0,1.0,0,0,0,0,0,0,32.0,2843.75
5185,apartment,Palermo,112000.0,1.0,0,0,0,0,0,0,36.0,3111.1111111111113
5186,PH,Palermo,90000.0,3.0,0,0,0,0,0,0,40.0,2250.0
5187,apartment,Palermo,90000.0,3.0,1,0,0,0,0,0,40.0,2250.0
5188,house,Flores,440000.0,5.0,1,1,1,1,0,0,350.0,1257.142857142857
5189,house,Flores,290000.0,4.0,1,1,1,1,1,0,190.0,1526.3157894736842
5190,apartment,Villa Urquiza,80000.0,1.0,0,0,0,0,0,0,44.0,1818.1818181818182
5191,apartment,Saavedra,100000.0,2.0,1,1,1,1,1,1,54.0,1851.851851851852
5192,apartment,Saavedra,95000.0,2.0,0,1,1,1,1,0,52.0,1826.923076923077
5193,apartment,Villa Urquiza,75000.0,1.0,0,0,0,0,0,0,32.0,2343.75
5194,apartment,Balvanera,140000.0,5.0,0,0,0,0,0,0,140.0,1000.0
5195,apartment,Saavedra,135000.0,2.0,0,0,1,1,1,0,88.0,1534.090909090909
5196,apartment,Saavedra,105000.0,2.0,0,1,1,1,0,0,50.0,2100.0
5197,house,Saavedra,135000.0,2.0,0,1,1,1,1,0,88.0,1534.090909090909
5198,house,Saavedra,170000.0,3.0,0,1,1,1,1,0,104.0,1634.6153846153845
5199,apartment,Saavedra,126000.0,2.0,0,1,1,1,0,0,50.0,2520.0
5200,house,Saavedra,145000.0,2.0,0,1,0,1,1,0,104.0,1394.2307692307693
5201,house,Saavedra,135000.0,2.0,0,0,1,1,1,0,70.0,1928.5714285714287
5202,apartment,Saavedra,112000.0,2.0,0,0,0,0,0,0,56.0,2000.0
5203,apartment,Saavedra,86320.0,2.0,0,0,0,0,0,0,56.0,1541.4285714285713
5204,apartment,Villa Lugano,76500.0,4.0,0,0,0,0,0,0,60.0,1275.0
5205,apartment,Villa Lugano,76500.0,4.0,0,0,0,1,0,0,60.0,1275.0
5206,apartment,Villa Lugano,95000.0,3.0,1,1,0,1,0,0,58.0,1637.9310344827586
5207,apartment,Villa Lugano,85000.0,3.0,0,0,0,1,0,1,50.0,1700.0
5208,PH,Villa Lugano,99500.0,3.0,0,0,0,1,0,0,96.0,1036.4583333333333
5210,apartment,Caballito,310000.0,4.0,1,0,0,1,0,0,130.0,2384.6153846153848
5211,apartment,Villa Pueyrredón,129600.0,3.0,1,0,1,1,1,0,71.0,1825.3521126760563
5212,house,Belgrano,680000.0,5.0,0,0,0,0,0,0,400.0,1700.0
